variable,priority,taxonomy,concept,unit,period_type
assets,1,us-gaap,Assets,USD,instant
liabilities,1,us-gaap,Liabilities,USD,instant
equity,1,us-gaap,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,USD,instant
equity,2,us-gaap,StockholdersEquity,USD,instant
current_assets,1,us-gaap,AssetsCurrent,USD,instant
current_liabilities,1,us-gaap,LiabilitiesCurrent,USD,instant
cash,1,us-gaap,CashAndCashEquivalentsAtCarryingValue,USD,instant
cash,2,us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,USD,instant
revenue,1,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,USD,duration
revenue,2,us-gaap,Revenues,USD,duration
revenue,3,us-gaap,SalesRevenueNet,USD,duration
net_income,1,us-gaap,NetIncomeLoss,USD,duration
net_income,2,us-gaap,ProfitLoss,USD,duration
operating_income,1,us-gaap,OperatingIncomeLoss,USD,duration
operating_cash_flow,1,us-gaap,NetCashProvidedByUsedInOperatingActivities,USD,duration
interest_expense,1,us-gaap,InterestExpenseNonOperating,USD,duration
interest_expense,2,us-gaap,InterestExpense,USD,duration
